municipio_ano,pib
52048052010,"32786,06"
52048542010,"8282,7"
52049042010,"7998,59"
52049532010,"6663,61"
52050002010,"19666,12"
52050592010,"13646,99"
52051092010,"57955,64"
52052082010,"7920,82"
52053072010,"32512,41"
52054062010,"13621,43"
52054552010,"35649,33"
52054712010,"133198,91"
52054972010,"6014,18"
52055132010,"8830,77"
52055212010,"7450,59"
52057032010,"12202,04"
52058022010,"6577,87"
52059012010,"31056,44"
52062062010,"22769,63"
52063052010,"14269,91"
52064042010,"16341,55"
52065032010,"10909,8"
52066022010,"15186,76"
52067012010,"5752,87"
52068002010,"8314,34"
52069092010,"56741,71"
52071052010,"10103,46"
52072532010,14047
52073522010,"18653,52"
52074022010,"30500,66"
52075012010,"9369,25"
52075352010,"9309,76"
52076002010,"9746,35"
52078082010,"7167,06"
52079072010,"6675,47"
52080042010,"10850,37"
52081032010,"7374,17"
52081522010,"23340,26"
52083012010,"6956,25"
52084002010,7976
52085092010,"10894,11"
52086082010,"11375,16"
52087072010,"22304,47"
52088062010,"9471,02"
52089052010,"9649,61"
52091012010,"21924,93"
52091502010,"15633,9"
52092002010,"8239,02"
52092912010,"7821,71"
52094082010,"6170,53"
52094572010,"7793,03"
52096062010,"7996,57"
52097052010,"14476,69"
52098042010,"9155,44"
52099032010,"6672,59"
52099372010,"14632,6"
52099522010,"13685,05"
52100002010,"12062,4"
52101092010,"27634,04"
52101582010,8004
52102082010,"9629,01"
52103072010,"9524,15"
52104062010,"14691,53"
52105622010,"8507,8"
52106042010,"8562,17"
52108022010,"13453,22"
52109012010,"10301,62"
52110082010,"11964,87"
52112062010,"8833,03"
52113052010,"16056,1"
52114042010,"8239,66"
52115032010,"24416,97"
52116022010,"12072,15"
52117012010,"23863,82"
52118002010,"10080,33"
52119092010,"25490,78"
52120062010,"8560,64"
52120552010,"6949,3"
52121052010,"13575,44"
52122042010,"12973,18"
52122532010,"16346,6"
52123032010,"14107,7"
52125012010,"12416,01"
52126002010,"13066,48"
52127092010,"5513,07"
52128082010,"9688,66"
52129072010,"13592,5"
52129562010,"11660,81"
52130042010,"8682,56"
52130532010,"11531,27"
52130872010,"29885,86"
52131032010,"22155,31"
52134002010,"10723,14"
52135092010,"6081,66"
52137072010,"16244,38"
52137562010,"36423,27"
52137722010,"8347,33"
52138062010,"16099,57"
52138552010,"8531,43"
52139052010,"9963,67"
52140022010,"20888,76"
52140512010,"10652,36"
52141012010,"8649,45"
52144082010,"11619,93"
52145072010,"16183,55"
52146062010,"18189,63"
52147052010,"9013,11"
52148042010,"10384,45"
52148382010,"16187,93"
52148612010,"6953,75"
52148792010,"8084,85"
52149032010,"7658,08"
52150092010,"9652,15"
52152072010,"11125,87"
52152312010,"4920,86"
52152562010,"8972,61"
52153062010,"15937,4"
52154052010,"17567,11"
52155042010,"42509,23"
52156032010,"7980,81"
52156522010,"13576,49"
52157022010,"21454,31"
52158012010,"8185,33"
52159002010,"10246,06"
52160072010,"17724,44"
52163042010,"10737,86"
52164032010,"31084,49"
52164522010,"95817,33"
52168092010,"9485,15"
52169082010,"9460,88"
52171042010,"16386,94"
52172032010,"12914,33"
52173022010,"10611,08"
52174012010,"14360,24"
52176092010,"6119,99"
52177082010,"12187,31"
52180032010,"11054,79"
52180522010,"41349,11"
52181022010,"36785,19"
52183002010,"7652,63"
52183912010,"9553,95"
52185082010,"17849,2"
52186072010,"15531,31"
52187062010,"20814,31"
52187892010,"46388,27"
52188052010,"25214,94"
52189042010,"12126,35"
52190012010,"13341,28"
52191002010,"13107,98"
52192092010,"17321,78"
52192582010,"24865,38"
52193082010,"15342,01"
52193572010,"10512,75"
52194072010,"9904,22"
52194562010,"11132,05"
52195062010,"8539,7"
52196052010,"9877,39"
52197042010,"7195,17"
52197122010,"20508,1"
52197382010,"11343,15"
52197532010,"5005,33"
52198032010,"9485,7"
52199022010,"9589,85"
52200092010,"11743,72"
52200582010,"14626,72"
52201082010,"16052,05"
52201572010,"10164,45"
52202072010,"12181,25"
52202642010,"18340,78"
52202802010,"9249,89"
52204052010,"76935,08"
52204542010,"11961,48"
52205042010,"27734,29"
52206032010,"15605,31"
52206862010,"6830,8"
52207022010,7169
52210072010,9659
52210802010,"5185,1"
52211972010,"13023,09"
52213042010,"9929,07"
52214032010,"9843,97"
52214522010,"7477,57"
52215022010,"12335,67"
52215512010,"60179,53"
52215772010,"10133,32"
52216012010,"12123,67"
52217002010,"7697,92"
52218092010,"16711,81"
52218582010,"8405,6"
52219082010,"9061,63"
52220052010,"14240,13"
52220542010,"18165,7"
52222032010,"15115,09"
52223022010,"17893,66"
53001082010,"56252,9"
11000152011,"11577,91"
11000232011,"18039,59"
11000312011,"12412,34"
11000492011,"15945,29"
11000562011,"15357,58"
